time,veh,activation
4680,18517,1
4680,19090,1
4680,19470,1
4680,19603,1
4680,19639,1
4680,19694,1
4680,19737,1
4680,19799,1
4680,19872,1
4680,20093,1
4680,20151,1
4680,20224,1
4680,20281,1
4680,20351,1
4680,20398,1
4680,20435,1
4680,20446,1
4680,20494,1
4680,20568,1
4680,20626,1
4680,20637,1
4680,20683,1
4680,20711,1
4680,20717,1
4680,20820,1
4680,20882,1
4680,20945,1
4680,20988,1
4680,21004,1
4680,21009,1
4680,21031,1
4680,21118,1
4680,21159,1
4680,21163,1
4680,21182,1
4680,21204,1
4680,21219,1
4680,21232,1
4680,21252,1
4680,21254,1
4680,21262,1
4680,21303,1
4680,21311,1
4680,21330,1
4680,21342,1
4680,21347,1
4680,21372,1
4680,21380,1
4680,21402,1
4680,21425,1
4680,21449,1
4680,21474,1
4680,21497,1
4680,21503,1
4680,21530,1
4680,21614,1
4680,21616,1
4680,21617,1
4680,21692,1
4680,21730,1
4680,21749,1
4680,21781,1
4680,21789,1
4680,21798,1
4680,21811,1
4680,21822,1
4680,21876,1
4680,21884,1
4680,21916,1
4680,21926,1
4680,21927,1
4680,21929,1
4680,21934,1
4680,21989,1
4680,22014,1
4680,22020,1
4680,22048,1
4680,22053,1
4680,22099,1
4680,22118,1
4684,22199,1
4688,22226,1
4688,22229,1
4690,22240,1
4691,22244,1
4696,22273,1
4699,22287,1
4700,22289,1
4709,22339,1
4717,22384,1
4722,22404,1
4732,22434,1
4733,22446,1
4735,22456,1
4738,22468,1
4738,22473,1
4739,22478,1
4740,22484,1
4740,22488,1
4758,22558,1
4763,22585,1
4769,22617,1
4769,22620,1
4771,22630,1
4783,22707,1
4786,22721,1
4788,22734,1
4789,22738,1
4796,22778,1
4797,22784,1
4800,22801,1
4802,22808,1
4809,22834,1
4811,22846,1
4813,22857,1
4815,22866,1
4827,22925,1
4831,22946,1
4837,22976,1
4841,22987,1
4845,23005,1
4851,23031,1
4852,23035,1
4852,23038,1
4852,23039,1
4857,23058,1
4859,23069,1
4859,23072,1
4860,23075,1
4860,19203,1
4860,19852,1
4860,20136,1
4860,20301,1
4860,20609,1
4860,20723,1
4860,20845,1
4860,20885,1
4860,21184,1
4860,21193,1
4860,21196,1
4860,21214,1
4860,21216,1
4860,21246,1
4860,21252,1
4860,21281,1
4860,21315,1
4860,21374,1
4860,21393,1
4860,21405,1
4860,21428,1
4860,21449,1
4860,21455,1
4860,21588,1
4860,21617,1
4860,21686,1
4860,21688,1
4860,21697,1
4860,21734,1
4860,21746,1
4860,21810,1
4860,21834,1
4860,21872,1
4860,21875,1
4860,21878,1
4860,21902,1
4860,21906,1
4860,22091,1
4860,22114,1
4860,22124,1
4860,22125,1
4860,22141,1
4860,22275,1
4860,22306,1
4860,22316,1
4860,22454,1
4860,22500,1
4860,22491,1
4860,22573,1
4860,22574,1
4860,22627,1
4860,22632,1
4860,22686,1
4860,22732,1
4860,22738,1
4860,22782,1
4860,22796,1
4860,22810,1
4860,22856,1
4860,22857,1
4860,22886,1
4860,22924,1
4860,22937,1
4860,22958,1
4860,22952,1
4860,23013,1
4860,23021,1
4860,23035,1
4860,23063,1
4860,23065,1
4869,23110,1
4869,23111,1
4871,23127,1
4874,23140,1
4878,23160,1
4880,23165,1
4888,23203,1
4891,23212,1
4893,23226,1
4895,23235,1
4901,23264,1
4903,23276,1
4912,23322,1
4918,23360,1
4919,23369,1
4921,23382,1
4921,23385,1
4937,23458,1
4948,23521,1
4949,23530,1
4951,23541,1
4959,23586,1
4967,23619,1
4967,23621,1
4968,23624,1
4977,23668,1
4981,23685,1
4982,23693,1
4990,23728,1
4993,23741,1
4995,23752,1
5002,23799,1
5011,23835,1
5013,23849,1
5013,23851,1
5025,23916,1
5036,23973,1
5038,23983,1
5040,23993,1
5040,18306,1
5040,19415,1
5040,19625,1
5040,19770,1
5040,19850,1
5040,19986,1
5040,20234,1
5040,20262,1
5040,20263,1
5040,20500,1
5040,20542,1
5040,20556,1
5040,20859,1
5040,20946,1
5040,20966,1
5040,20988,1
5040,21252,1
5040,21253,1
5040,21274,1
5040,21297,1
5040,21298,1
5040,21524,1
5040,21721,1
5040,21722,1
5040,21787,1
5040,21864,1
5040,21874,1
5040,21884,1
5040,21946,1
5040,21949,1
5040,21941,1
5040,21981,1
5040,22048,1
5040,22074,1
5040,22078,1
5040,22192,1
5040,22194,1
5040,22203,1
5040,22213,1
5040,22219,1
5040,22236,1
5040,22255,1
5040,22256,1
5040,22264,1
5040,22290,1
5040,22307,1
5040,22319,1
5040,22353,1
5040,22354,1
5040,22384,1
5040,22400,1
5040,22407,1
5040,22417,1
5040,22418,1
5040,22430,1
5040,22454,1
5040,22457,1
5040,22501,1
5040,22522,1
5040,22545,1
5040,22576,1
5040,22578,1
5040,22603,1
5040,22610,1
5040,22634,1
5040,22682,1
5040,22687,1
5040,22703,1
5040,22712,1
