sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5,sensor_network
112728.10069783563,79827.74180597214,134093.3889418807,91501.28607525052,93777.80912218019,86640.15654389153,167125.24228360975,272094.40028194035,136392.12134580742,99584.28870904788,114707.25755715862,247585.44552663568,402216.60948217066,247636.40586010012,105416.40510528383,74317.35996973637,177411.834395507,262424.72267682455,165258.1144519521,80450.39036517782,106479.87209145565,89228.13209659794,112568.82127264954,91624.0269590152,117399.068680644,5502364.465711964
105350.22169181072,76528.21286548911,116199.42788054752,107600.69362085778,90441.09148325927,91254.18914048771,172095.59730133196,271467.71138055937,162335.10188173066,101375.41273790092,126180.00325942984,261545.82516800964,401925.36317160993,238086.60033796862,113172.93454740601,89935.15526106655,142312.71735404918,258798.6522207771,187997.59457078984,82995.68937399608,108321.02478621578,100203.23716978279,125050.5297946944,85682.13830816734,106643.4428119171,5501392.0697754165
92028.52224243555,75615.06897789269,108473.60570909681,92015.48635248259,85953.14700558917,82253.54801729282,163002.56989745147,261191.87714638637,170889.9488212579,107597.26911209596,112395.64574127365,250313.28451187088,383343.1213001103,212158.42539997626,116704.68298979154,76522.71047016168,130437.06760217824,275257.0617128273,170112.36148053844,96051.35855002828,94926.92660772777,116358.41597419984,123969.38547029883,73598.76479092102,109740.76305189752,5353653.05359695
87412.01721265372,84100.76715908866,109114.37722778568,85142.50754763497,93442.38844264588,87719.34347317902,159363.09962174407,249935.54455926028,151466.63724018846,96462.744754474,106588.48768246645,244652.6097784495,388146.7932599978,214304.70173034442,107401.12049465289,72092.89998975488,133268.9416133409,260098.19229413522,158505.12247800475,102270.63358753326,88278.11880509416,95560.35230563415,116523.81108375122,96254.74949403602,109410.0788073282,5263774.975388369
113365.18665301175,91053.03620270207,112030.72751282543,85571.14491969578,91517.53207277415,86447.15730560855,127710.79846034035,223037.71191041733,125816.90180953556,91937.3505168427,105854.82756473921,247566.1879786165,367927.4571907458,230235.99987714298,108871.53225563212,90466.90945914993,89298.34678408585,205351.23050811153,198541.41870498957,71823.11694381277,86790.99828160307,100606.81643014417,104668.14426275698,109841.45958274869,77806.62431089443,5118362.00466688
92679.34551814005,99309.32473654585,112670.49332709842,92668.1712686077,93077.87659217343,89441.49308419767,115185.92056915927,223806.86155464358,90988.99113589755,99680.87096468834,110666.10603088592,262282.2724943248,360777.82336221903,229011.15731111684,99261.34583843479,105361.97552659069,79012.35856176773,186617.38330838687,166170.15000433743,90015.91450284765,75644.61624743442,104304.96252956231,99169.0796145993,96209.03569881483,91623.79383428868,5019605.047538222
73687.60998015097,104070.59310846348,84078.91047011387,105645.43732322901,75767.23719016141,95554.04069810794,113365.67102427591,225104.08794711885,90716.93356198377,110160.7983133272,90959.31379743172,304249.38001973706,357567.7479762538,228195.70968150656,112035.08834584082,120998.59521275265,65810.76449930291,157438.18732372412,159732.7647983378,80508.03804453976,58308.208092067995,110886.00147009309,77665.56570931687,87491.59234061444,90216.08803127204,4887313.332492717
64443.625533987724,118441.90519269949,87121.56448233989,100023.05790027832,57603.49413214621,93036.8361990997,87901.19080146152,213896.15514248976,80839.23160198968,109587.56753393791,94706.64177589996,287445.0282937983,350757.91308225296,214651.49304660942,101916.43037194373,115456.34795481061,74474.7497206801,116385.56835089992,157832.97618477468,84605.94565472669,42561.90900255953,102435.78905414943,96841.17285057755,97320.02973784471,90425.65291336409,4688791.328366735
70517.61668518368,116438.33464955848,79148.06632624305,116212.50951827841,42120.842591225766,119618.11263471647,86557.43162690428,201274.08569269645,78848.9655124719,110733.07587138884,93990.40796637487,251334.9983365635,303851.0596965408,228406.63887570697,77103.26659149273,125890.15181989818,73561.92607645846,128620.63858623813,129072.42068663583,96142.18108059563,59167.75091185483,100030.42216217046,76269.14341464188,109708.31392761527,92905.1277892759,4612295.918894323
70128.86290824332,112107.66532184691,90996.57793634776,119420.14942105584,67367.52384358665,114883.55809377247,66730.59331809562,182700.23739633392,74543.83161719934,112570.68148729524,94283.0912882205,222741.5825661685,308976.13288164657,222080.98365189723,92127.30689813562,139409.63969709416,74811.70679250939,116545.4261566419,114258.18656046051,101480.60647325107,56158.211305595,80344.34157108585,78063.85799636718,86858.33458540622,73118.18765328586,4216395.894000237
35625.65408958689,104338.49098829133,81175.42036701355,77302.74339733194,35352.78877234876,92425.61591683078,84975.47250413858,164773.8943601923,85891.71584598358,118192.28956788647,62688.42035687748,202722.9518630666,314786.4137301502,219256.56913467404,71003.60328745241,113174.20513142954,94266.98622253639,121544.12858972365,93169.31927906667,67990.82114498464,26445.350406771766,68206.51499790525,68107.07739456715,67935.27108136532,48899.4941812216,3567205.502190522
25848.741891034628,65209.97342124532,39668.17145367733,50791.02949701008,18331.13928330166,52431.62054789383,88530.74796611944,156277.85549955434,106263.41688314463,81234.90426308176,37002.62224539451,191583.1921672965,268034.1423414506,202148.6591315787,36825.021837991066,85887.38757074525,88266.06060332655,96525.20689885502,57223.33735081989,44861.51217467037,18104.61155163961,47890.920314086834,37388.2176059764,57463.302789644455,18208.945103709324,2925205.770111978
32197.213668051092,45219.09763324505,43272.956151560495,60064.59916003436,21158.185354688732,52965.61270360959,58801.214904893895,114492.72634819752,64852.643511855866,54877.55787384778,29378.808483048288,141068.92758966715,214902.86123909097,145560.2917133205,44793.1457187128,63054.913421110105,49833.863794672136,77677.30376169643,33371.065331242426,48477.64135169843,24698.575952546704,29825.3748208248,40778.96934340249,44809.50876210326,11568.957888565208,2400595.183022037
26442.569014397446,45203.176775106906,38659.88843369308,59914.46295313402,25407.29241013643,49894.08243392224,42829.60386108071,95825.71336508583,53052.25860533559,61280.02055394401,29788.11732609481,141382.94859677073,176849.2531282731,132415.06676319268,43409.634946567836,60251.47778537802,32952.981137883835,61631.78185641621,26805.207891493927,35607.171344478826,22267.27366711031,32238.99990896612,36240.78701420084,29255.15558705182,17143.33359016428,2184404.5461214366
