sensor_zone_1_1,sensor_zone_1_2,sensor_zone_1_3,sensor_zone_1_4,sensor_zone_1_5,sensor_zone_2_1,sensor_zone_2_2,sensor_zone_2_3,sensor_zone_2_4,sensor_zone_2_5,sensor_zone_3_1,sensor_zone_3_2,sensor_zone_3_3,sensor_zone_3_4,sensor_zone_3_5,sensor_zone_4_1,sensor_zone_4_2,sensor_zone_4_3,sensor_zone_4_4,sensor_zone_4_5,sensor_zone_5_1,sensor_zone_5_2,sensor_zone_5_3,sensor_zone_5_4,sensor_zone_5_5
0.0,0.0,0.0,0.0,0.0,0.0,0.2648841497748053,0.3797189996645638,0.21346931209782571,0.04358520515033666,0.0,0.4347563741228734,0.23718690183211422,0.4563087818629439,0.0,0.0,0.45856043562131854,0.4537446543817974,0.5688879447611844,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.202268011949431,0.3650648118845694,0.20566023043161286,0.03155352003674956,0.0,0.41172758279279126,0.22407856006145588,0.4532440835107952,0.0,0.0,0.43542408928811,0.45693203584265873,0.5983625425840545,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.136580022541271,0.41557580863801963,0.179846638812867,0.0139812165257025,0.0,0.40709999761532956,0.20988294748607916,0.428745485628951,0.0,0.0,0.3978448117579352,0.42827844543767246,0.5344868307535976,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0706973240480834,0.41877670931080946,0.20252894697647916,0.07431096259869437,0.0,0.37958229313341607,0.24186428884931765,0.44069066395777495,0.0,0.0,0.35954132327715,0.4105173689238485,0.5245150372263987,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.08113201608552796,0.4245554412499198,0.28696604443729534,0.045924391884737764,0.0,0.35921086243765127,0.24789724734525037,0.4809607787944359,0.0,0.0,0.18945810333009866,0.41037073495685017,0.5162825215735823,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.006184626796238213,0.0,0.0,0.0,0.0,0.0,0.44331885125828374,0.2644196962609067,0.0,0.0,0.32906571616084224,0.255098599846946,0.4585582145638962,0.0,0.0,0.10264481812036151,0.41872096243068085,0.47344922495166597,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4782288627590828,0.3170210571204265,0.0011054762484989488,0.0,0.3339704186478203,0.21769454957290738,0.427947764355622,0.0,0.0,0.026524809980044584,0.4070240113850636,0.408133198917759,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.016083476410263222,0.0,0.0,0.0,0.0,0.0,0.49493366718230514,0.2118453215009164,0.0,0.0,0.3057904767821032,0.18881378930834614,0.396285951126437,0.0,0.0,0.0,0.39659377678659274,0.3817868368723685,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.06382686639098907,0.0,0.0,0.0,0.0,0.0,0.48905773658205454,0.0,0.0,0.0,0.3116617344955289,0.11387809388059536,0.3751498962167159,0.0,0.0,0.0,0.3238785198838767,0.39018790581533547,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48732146536173426,0.0,0.0,0.0,0.25062233968477193,0.11579016922385406,0.3342547650924108,0.0,0.0,0.0,0.27401872151077716,0.36602653377347777,0.0,0.0,0.0,0.0,0.0,0.0
