time,veh,activation
4860,21553,1
4860,21580,1
4860,21590,1
4860,21589,1
4860,21684,1
4860,21689,1
4860,21730,1
4860,21822,1
4860,21875,1
4860,21906,1
4860,21912,1
4860,21981,1
4860,22051,1
4860,22055,1
4860,22183,1
4860,22213,1
4860,22295,1
4860,22353,1
4860,22371,1
4860,22386,1
4860,22400,1
4860,22628,1
4860,22736,1
4860,22746,1
4860,22785,1
4860,22788,1
4860,22796,1
4860,22845,1
4860,22901,1
4860,23023,1
4860,23034,1
4874,23141,1
4890,23207,1
4906,23290,1
4916,23351,1
4933,23433,1
4939,23464,1
4947,23512,1
4956,23572,1
4963,23604,1
4967,23619,1
4991,23736,1
4995,23756,1
5022,23901,1
5026,23918,1
5040,19683,1
5040,20234,1
5040,20832,1
5040,20947,1
5040,21353,1
5040,21388,1
5040,21697,1
5040,21853,1
5040,21941,1
5040,22149,1
5040,22241,1
5040,22290,1
5040,22361,1
5040,22560,1
5040,22622,1
5040,22643,1
5040,22709,1
5040,22743,1
5040,22785,1
5040,22789,1
5040,22844,1
5040,22885,1
5040,22937,1
5040,22939,1
5040,23028,1
5040,23093,1
5040,23166,1
5040,23188,1
5040,23189,1
5040,23300,1
5040,23327,1
5040,23402,1
5040,23530,1
5040,23536,1
5040,23616,1
5040,23621,1
5040,23624,1
5040,23654,1
5040,23675,1
5040,23691,1
5040,23858,1
5040,23857,1
5040,23875,1
5042,24003,1
5059,24085,1
5068,24128,1
5070,24139,1
5071,24142,1
5082,24206,1
5094,24265,1
5114,24339,1
5145,24503,1
5155,24561,1
5162,24595,1
5169,24629,1
5170,24636,1
5171,24651,1
5174,24659,1
5182,24691,1
5184,24701,1
5187,24718,1
5191,24734,1
5193,24742,1
5194,24745,1
5205,24790,1
5209,24808,1
5211,24819,1
5219,24860,1
5220,20770,1
5220,20939,1
5220,21255,1
5220,21281,1
5220,21684,1
5220,21783,1
5220,22042,1
5220,22064,1
5220,22094,1
5220,22421,1
5220,22439,1
5220,22501,1
5220,22534,1
5220,22584,1
5220,22660,1
5220,22780,1
5220,22823,1
5220,22859,1
5220,22912,1
5220,22925,1
5220,22954,1
5220,22997,1
5220,23334,1
5220,23425,1
5220,23491,1
5220,23500,1
5220,23585,1
5220,23699,1
5220,23719,1
5220,23761,1
5220,23794,1
5220,23835,1
5220,23856,1
5220,23876,1
5220,23879,1
5220,23882,1
5220,23884,1
5220,23898,1
5220,23999,1
5220,24147,1
5220,24221,1
5220,24348,1
5220,24435,1
5220,24444,1
5220,24506,1
5220,24554,1
5220,24586,1
5220,24605,1
5220,24663,1
5220,24690,1
5220,24697,1
5220,24718,1
5220,24727,1
5220,24748,1
5220,24826,1
5220,24837,1
5220,24852,1
5220,24874,1
5222,24883,1
5242,24973,1
5246,24992,1
5251,25011,1
5254,25029,1
5255,25037,1
5259,25053,1
5261,25069,1
5265,25088,1
5266,25094,1
5287,25200,1
5288,25211,1
5308,25287,1
5313,25320,1
5320,25349,1
5320,25353,1
5325,25373,1
5331,25399,1
5332,25402,1
5335,25417,1
5341,25444,1
5349,25488,1
5374,25604,1
5384,25650,1
5388,25667,1
5392,25682,1
5400,20711,1
5400,20866,1
5400,21721,1
5400,21724,1
5400,22713,1
5400,22784,1
5400,22973,1
5400,23162,1
5400,23197,1
5400,23251,1
5400,23283,1
5400,23315,1
5400,23616,1
5400,23669,1
5400,23749,1
5400,23779,1
5400,23824,1
5400,23826,1
5400,23851,1
5400,24055,1
5400,24083,1
5400,24094,1
5400,24131,1
5400,24208,1
5400,24213,1
5400,24222,1
5400,24239,1
5400,24267,1
5400,24281,1
5400,24313,1
5400,24338,1
5400,24422,1
5400,24426,1
5400,24466,1
5400,24550,1
5400,24591,1
5400,24595,1
5400,24637,1
5400,24825,1
5400,24828,1
5400,24853,1
5400,24863,1
5400,24879,1
5400,24918,1
5400,24992,1
5400,25057,1
5400,25072,1
5400,25064,1
5400,25267,1
5400,25347,1
5400,25365,1
5400,25382,1
5400,25386,1
5400,25408,1
5400,25414,1
5400,25415,1
5400,25426,1
5400,25440,1
5400,25447,1
5400,25461,1
5400,25468,1
5400,25482,1
5400,25491,1
5400,25496,1
5400,25546,1
5400,25560,1
5400,25591,1
5400,25625,1
5400,25635,1
5400,25669,1
5400,25686,1
5407,25765,1
5408,25766,1
5408,25768,1
5415,25797,1
5416,25802,1
5422,25830,1
5423,25837,1
5431,25872,1
5441,25921,1
5445,25934,1
5448,25951,1
5453,25981,1
5465,26026,1
5469,26038,1
5472,26054,1
5472,26058,1
5473,26067,1
5483,26117,1
5488,26133,1
5495,26163,1
5502,26194,1
5505,26208,1
5523,26289,1
5528,26307,1
5544,26377,1
5558,26444,1
5560,26458,1
5570,26491,1
5579,26541,1
5580,26545,1
5580,26546,1
5580,21923,1
5580,22457,1
5580,22578,1
5580,22853,1
5580,23313,1
5580,23361,1
5580,23563,1
5580,23979,1
5580,23991,1
5580,23994,1
5580,24037,1
5580,24067,1
5580,24080,1
5580,24285,1
5580,24290,1
5580,24436,1
5580,24544,1
5580,24626,1
5580,24771,1
5580,24786,1
5580,24836,1
5580,24913,1
5580,24950,1
5580,24987,1
5580,25065,1
5580,25116,1
5580,25186,1
5580,25200,1
5580,25245,1
5580,25263,1
5580,25312,1
5580,25343,1
5580,25381,1
5580,25412,1
5580,25506,1
5580,25559,1
5580,25574,1
5580,25581,1
5580,25600,1
5580,25614,1
5580,25629,1
5580,25641,1
5580,25799,1
5580,25842,1
5580,25867,1
5580,25912,1
5580,25919,1
5580,25939,1
5580,26006,1
5580,26049,1
5580,26094,1
5580,26097,1
5580,26162,1
5580,26200,1
5580,26212,1
5580,26226,1
5580,26269,1
5580,26262,1
5580,26297,1
5580,26298,1
5580,26307,1
5580,26339,1
5580,26413,1
5580,26455,1
5580,26470,1
5580,26488,1
5580,26520,1
5581,26549,1
5590,26599,1
5595,26625,1
5598,26645,1
5599,26646,1
5605,26673,1
5618,26743,1
5621,26754,1
5625,26776,1
5626,26777,1
5626,26778,1
5630,26796,1
5633,26817,1
5635,26824,1
5643,26866,1
5657,26914,1
5657,26916,1
5658,26924,1
5675,27013,1
5681,27030,1
5688,27064,1
5688,27068,1
5700,27116,1
5701,27119,1
5702,27131,1
5704,27135,1
5705,27137,1
5709,27156,1
5722,27214,1
5728,27239,1
5733,27270,1
5735,27290,1
5745,27326,1
5748,27340,1
5751,27355,1
5756,27384,1
5758,27402,1
5760,22189,1
5760,23663,1
5760,24152,1
5760,24285,1
5760,24294,1
5760,24329,1
5760,24572,1
5760,24626,1
5760,24653,1
5760,24690,1
5760,24743,1
5760,24746,1
5760,24798,1
5760,24877,1
5760,24988,1
5760,25010,1
5760,25032,1
5760,25217,1
5760,25235,1
5760,25301,1
5760,25305,1
5760,25308,1
5760,25338,1
5760,25370,1
5760,25412,1
5760,25448,1
5760,25451,1
5760,25461,1
5760,25569,1
5760,25625,1
5760,25695,1
